1 Metro;2 Metro;4 Metro;6 Metro;8 Metro;10 Metro;12 Metro;14 Metro;16 Metro;18 Metro;20 Metro;30 Metro;40 Metro;50 Metro;60 Metro;70 Metro;80 Metro;90 Metro;100 Metro
-68;-67;-71;-71;-83;-84;-78;-83;-85;-87;-90;-91;-94;-92;-103;-92;-92;-92;-94
-69;-67;-70;-72;-81;-83;-77;-83;-85;-87;-90;-89;-96;-92;-102;-91;-93;-92;-94
-69;-66;-70;-73;-81;-83;-78;-83;-86;-84;-90;-90;-96;-93;-103;-93;-93;-91;-94
-69;-67;-70;-72;-82;-83;-78;-82;-86;-86;-89;-89;-98;-92;-104;-92;-93;-91;-94
-69;-67;-71;-72;-82;-83;-77;-83;-85;-86;-90;-91;-99;-93;-103;-93;-93;-92;-95
-69;-67;-71;-71;-82;-84;-79;-83;-86;-85;-91;-91;-96;-93;-104;-93;-93;-91;-95
-68;-66;-72;-71;-82;-84;-81;-82;-86;-86;-91;-91;-98;-92;-102;-93;-92;-92;-94
-69;-66;-72;-72;-79;-84;-78;-83;-86;-87;-92;-91;-98;-93;-102;-92;-92;-93;-96
-68;-66;-71;-74;-81;-84;-78;-82;-85;-86;-91;-90;-98;-93;-103;-93;-93;-91;-94
-68;-67;-71;-73;-81;-84;-81;-82;-85;-84;-92;-90;-98;-93;-103;-91;-93;-91;-95
-68;-67;-72;-73;-81;-84;-78;-83;-85;-87;-91;-91;-99;-93;-101;-92;-93;-92;-94
-69;-67;-70;-74;-81;-84;-81;-82;-83;-87;-93;-90;-99;-93;-103;-92;-93;-92;-93
-70;-67;-71;-73;-79;-85;-81;-83;-84;-86;-93;-89;-98;-91;-102;-93;-94;-90;-95
-69;-67;-71;-72;-82;-84;-78;-83;-84;-85;-93;-88;-98;-93;-103;-91;-94;-90;-94
-69;-68;-71;-73;-82;-85;-79;-84;-86;-86;-93;-90;-96;-91;-102;-93;-94;-91;-95
-69;-67;-72;-73;-81;-85;-79;-83;-86;-87;-91;-89;-99;-91;-103;-92;-94;-92;-95
-69;-66;-71;-72;-81;-84;-79;-82;-89;-87;-93;-89;-99;-92;-102;-92;-93;-93;-95
-69;-66;-70;-73;-81;-84;-79;-82;-84;-87;-92;-89;-99;-91;-102;-91;-93;-92;-94
-69;-65;-71;-73;-81;-85;-78;-82;-85;-86;-93;-88;-98;-92;-101;-91;-95;-92;-94
-68;-66;-72;-72;-81;-84;-81;-82;-84;-86;-93;-89;-98;-93;-103;-90;-94;-92;-94
-68;-67;-72;-72;-81;-84;-79;-83;-84;-87;-92;-89;-98;-94;-101;-90;-93;-92;-94
-69;-67;-70;-74;-82;-84;-77;-83;-84;-87;-92;-90;-99;-91;-102;-91;-92;-93;-94
-68;-67;-71;-73;-82;-84;-78;-84;-86;-86;-92;-88;-98;-93;-102;-92;-94;-92;-94
-69;-67;-72;-72;-82;-85;-79;-84;-84;-86;-91;-90;-96;-93;-95;-93;-94;-92;-93
-68;-68;-72;-72;-83;-84;-79;-82;-87;-87;-91;-90;-95;-93;-94;-91;-93;-92;-94
-68;-67;-71;-72;-82;-84;-78;-83;-86;-87;-91;-91;-98;-93;-92;-92;-93;-93;-94
-69;-67;-70;-71;-82;-83;-78;-82;-86;-86;-92;-91;-98;-93;-95;-91;-93;-92;-94
-70;-65;-70;-73;-82;-83;-78;-82;-85;-87;-91;-91;-98;-93;-103;-92;-95;-92;-95
-69;-66;-70;-72;-82;-83;-77;-82;-86;-85;-92;-90;-98;-91;-103;-92;-93;-91;-95
-69;-66;-70;-71;-79;-83;-78;-83;-84;-85;-93;-90;-98;-91;-102;-90;-93;-91;-94
-69;-66;-70;-72;-81;-81;-78;-82;-85;-85;-94;-90;-101;-92;-101;-90;-93;-91;-95
-68;-65;-71;-72;-81;-81;-78;-83;-85;-85;-93;-89;-98;-93;-101;-91;-93;-92;-95
-69;-66;-70;-72;-82;-81;-78;-82;-86;-85;-94;-88;-99;-92;-102;-92;-93;-90;-94
-69;-67;-71;-73;-79;-84;-79;-82;-85;-86;-93;-89;-96;-93;-102;-91;-93;-91;-94
-69;-67;-71;-72;-82;-84;-77;-83;-85;-86;-92;-89;-96;-93;-102;-92;-94;-92;-94
-68;-67;-71;-72;-82;-84;-77;-83;-85;-86;-94;-89;-98;-93;-100;-91;-94;-92;-95
-68;-66;-72;-73;-82;-82;-79;-82;-84;-85;-94;-90;-96;-92;-99;-90;-93;-92;-94
-70;-65;-71;-73;-82;-82;-79;-82;-84;-87;-95;-90;-94;-92;-101;-91;-94;-92;-94
-70;-66;-71;-72;-81;-83;-79;-83;-86;-85;-95;-89;-98;-92;-103;-92;-93;-91;-94
-69;-66;-71;-72;-81;-84;-79;-82;-84;-84;-94;-88;-98;-92;-102;-91;-93;-91;-94
-68;-65;-71;-73;-82;-83;-79;-82;-85;-86;-94;-89;-94;-91;-103;-91;-93;-91;-94
-69;-66;-71;-73;-81;-84;-77;-82;-85;-87;-93;-89;-101;-91;-103;-92;-92;-93;-94
-69;-67;-70;-73;-79;-84;-78;-82;-84;-84;-95;-88;-101;-92;-101;-91;-93;-92;-95
-69;-66;-70;-73;-79;-84;-79;-82;-85;-86;-99;-90;-96;-93;-102;-93;-94;-92;-96
-68;-67;-71;-73;-81;-83;-78;-82;-85;-87;-95;-89;-99;-93;-103;-93;-93;-93;-95
-69;-66;-71;-73;-82;-84;-79;-83;-85;-84;-99;-88;-99;-93;-102;-91;-92;-92;-95
-69;-67;-70;-73;-81;-84;-79;-82;-86;-87;-101;-91;-96;-92;-103;-91;-92;-92;-93
-69;-66;-71;-72;-81;-83;-78;-82;-85;-86;-98;-90;-98;-92;-103;-91;-93;-93;-94
-69;-66;-72;-73;-81;-83;-78;-83;-85;-86;-98;-90;-98;-93;-103;-92;-93;-93;-94
-68;-67;-71;-71;-81;-84;-79;-83;-85;-86;-98;-90;-98;-92;-102;-91;-93;-93;-94
-69;-67;-71;-73;-82;-84;-79;-83;-86;-86;-95;-91;-95;-91;-102;-91;-93;-94;-94
-69;-67;-71;-73;-82;-82;-78;-83;-86;-86;-99;-91;-96;-93;-102;-92;-92;-94;-94
-68;-66;-71;-73;-82;-83;-78;-83;-85;-85;-99;-90;-100;-93;-102;-92;-94;-93;-95
-70;-67;-70;-72;-81;-83;-79;-83;-86;-86;-95;-90;-98;-93;-103;-92;-93;-93;-95
-70;-66;-71;-73;-81;-83;-78;-81;-85;-86;-93;-91;-98;-93;-103;-92;-94;-93;-95
-69;-67;-71;-72;-81;-83;-78;-83;-87;-86;-92;-91;-98;-93;-103;-92;-92;-92;-95
-68;-66;-71;-72;-82;-82;-78;-82;-85;-85;-92;-90;-99;-93;-103;-92;-92;-93;-96
-69;-66;-70;-72;-82;-83;-77;-83;-84;-85;-92;-90;-96;-93;-102;-91;-93;-93;-96
-69;-66;-72;-71;-82;-84;-79;-83;-85;-85;-93;-89;-99;-93;-102;-91;-93;-92;-95
-69;-66;-72;-71;-79;-84;-79;-82;-84;-86;-92;-89;-99;-93;-102;-92;-92;-92;-95
-68;-66;-71;-72;-81;-83;-78;-81;-84;-86;-91;-89;-95;-92;-102;-92;-92;-92;-94
-68;-65;-70;-73;-82;-83;-77;-82;-84;-85;-93;-91;-98;-92;-102;-91;-94;-92;-96
-68;-66;-70;-72;-81;-83;-77;-83;-84;-86;-93;-89;-96;-93;-102;-92;-94;-93;-95
-68;-66;-72;-73;-81;-83;-78;-82;-85;-86;-94;-87;-95;-92;-102;-91;-93;-92;-95
-68;-65;-72;-72;-81;-83;-79;-82;-84;-86;-92;-90;-96;-93;-101;-91;-93;-93;-96
-69;-67;-71;-72;-81;-83;-78;-81;-84;-86;-92;-88;-98;-92;-102;-91;-93;-92;-96
-69;-66;-71;-73;-81;-82;-78;-82;-85;-86;-90;-89;-98;-91;-102;-90;-92;-91;-96
-69;-66;-72;-73;-79;-82;-77;-81;-85;-86;-92;-88;-98;-92;-102;-91;-94;-91;-96
-69;-65;-71;-73;-78;-83;-78;-81;-85;-85;-92;-88;-98;-92;-103;-90;-95;-92;-95
-67;-67;-71;-72;-78;-84;-78;-81;-85;-87;-92;-88;-96;-93;-102;-91;-93;-93;-95
-68;-67;-71;-72;-78;-84;-78;-81;-85;-87;-90;-89;-98;-93;-103;-90;-93;-92;-95
-69;-67;-71;-73;-79;-84;-78;-82;-85;-87;-90;-89;-95;-93;-101;-90;-93;-93;-94
-70;-66;-71;-73;-78;-84;-78;-82;-85;-85;-92;-90;-98;-92;-103;-91;-93;-92;-95
-69;-65;-72;-73;-81;-84;-77;-83;-85;-85;-93;-89;-96;-93;-103;-91;-94;-92;-95
-68;-67;-71;-73;-82;-85;-78;-83;-85;-86;-93;-89;-96;-93;-102;-91;-94;-93;-94
-69;-67;-70;-73;-82;-84;-77;-81;-85;-87;-93;-90;-99;-91;-102;-91;-93;-92;-95
-68;-66;-70;-73;-82;-83;-77;-83;-85;-86;-93;-88;-98;-93;-102;-92;-94;-92;-96
-69;-66;-71;-73;-82;-84;-77;-82;-86;-85;-94;-90;-99;-92;-103;-91;-94;-92;-95
-69;-66;-71;-72;-82;-83;-77;-81;-85;-86;-92;-89;-98;-92;-102;-92;-94;-92;-95
-69;-65;-70;-72;-83;-83;-78;-82;-84;-86;-91;-89;-99;-93;-101;-93;-94;-92;-94
-68;-67;-70;-72;-83;-82;-77;-83;-84;-85;-91;-89;-100;-93;-102;-91;-94;-92;-95
-68;-65;-72;-72;-82;-82;-77;-82;-85;-84;-91;-89;-99;-92;-102;-92;-94;-92;-95
-70;-66;-71;-72;-83;-83;-77;-84;-86;-83;-91;-89;-99;-92;-103;-92;-94;-91;-96
-70;-65;-71;-72;-83;-84;-77;-83;-85;-85;-92;-89;-100;-92;-102;-92;-94;-92;-96
-69;-65;-71;-71;-83;-84;-77;-83;-85;-86;-92;-90;-98;-92;-103;-91;-93;-92;-93
-68;-65;-70;-73;-82;-84;-78;-82;-85;-88;-93;-90;-95;-93;-102;-92;-93;-93;-95
-69;-67;-71;-73;-84;-83;-78;-83;-85;-86;-92;-90;-96;-92;-102;-93;-93;-92;-96
-69;-67;-72;-74;-82;-83;-77;-83;-84;-86;-93;-89;-95;-93;-102;-92;-95;-93;-95
-70;-67;-71;-72;-82;-83;-78;-83;-85;-86;-93;-88;-98;-93;-101;-92;-94;-92;-96
-70;-67;-70;-73;-83;-84;-78;-83;-86;-86;-93;-86;-96;-91;-102;-92;-93;-92;-95
-70;-65;-71;-72;-83;-84;-78;-82;-86;-87;-90;-91;-96;-91;-102;-92;-92;-94;-96
-69;-65;-72;-72;-83;-83;-78;-83;-86;-87;-90;-89;-95;-91;-102;-93;-93;-93;-96
-69;-65;-71;-72;-82;-83;-77;-83;-86;-86;-89;-89;-96;-92;-103;-91;-93;-92;-96
-70;-65;-72;-72;-82;-84;-78;-82;-86;-85;-89;-88;-98;-92;-102;-92;-94;-92;-95
-70;-67;-72;-73;-82;-83;-78;-82;-85;-86;-92;-89;-98;-93;-101;-91;-93;-93;-95
-69;-66;-72;-73;-82;-84;-78;-82;-86;-86;-89;-89;-98;-94;-102;-92;-93;-94;-94
-69;-66;-71;-73;-82;-84;-78;-83;-85;-88;-89;-89;-98;-96;-100;-92;-92;-95;-94
-69;-66;-71;-72;-82;-84;-78;-84;-86;-86;-89;-89;-99;-93;-100;-91;-94;-92;-94
-69;-67;-71;-72;-82;-84;-78;-82;-84;-87;-90;-90;-98;-94;-103;-91;-94;-92;-94
-68;-65;-72;-73;-82;-83;-78;-82;-86;-87;-90;-89;-100;-91;-103;-91;-94;-91;-94
-70;-65;-71;-73;-82;-84;-77;-82;-86;-86;-88;-90;-96;-93;-103;-93;-92;-93;-95
-69;-65;-71;-73;-83;-83;-78;-82;-84;-85;-89;-90;-98;-93;-102;-92;-92;-95;-95
-69;-67;-71;-73;-81;-84;-77;-82;-86;-95;-90;-87;-99;-93;-101;-92;-92;-93;-95
-69;-67;-71;-73;-82;-84;-78;-82;-85;-93;-89;-90;-98;-92;-103;-92;-92;-92;-94
-69;-66;-70;-73;-82;-83;-78;-83;-85;-95;-89;-90;-96;-92;-101;-90;-94;-93;-95
-68;-66;-70;-72;-82;-83;-78;-83;-86;-95;-88;-91;-99;-92;-102;-91;-93;-92;-95
-69;-64;-70;-72;-83;-82;-78;-83;-86;-93;-90;-90;-99;-93;-103;-91;-92;-92;-95
-69;-66;-71;-72;-82;-83;-77;-83;-86;-98;-90;-89;-99;-93;-104;-92;-92;-92;-96
-69;-65;-72;-71;-82;-82;-77;-83;-85;-85;-90;-88;-99;-93;-100;-92;-93;-92;-95
-68;-65;-70;-71;-81;-83;-79;-83;-86;-86;-91;-89;-98;-92;-100;-92;-91;-92;-93
-69;-66;-70;-72;-83;-82;-79;-83;-84;-85;-89;-90;-100;-91;-102;-91;-92;-92;-95
-69;-66;-72;-72;-83;-83;-78;-83;-84;-85;-91;-89;-98;-92;-102;-92;-92;-93;-94
-68;-67;-71;-73;-83;-82;-78;-82;-85;-86;-91;-89;-98;-91;-101;-92;-92;-91;-95
-69;-67;-72;-72;-82;-84;-78;-83;-85;-87;-90;-89;-98;-93;-101;-90;-94;-93;-96
-68;-67;-72;-72;-83;-84;-77;-83;-86;-85;-90;-90;-99;-92;-101;-90;-93;-93;-96
